id,comment,label
1,"এই বাংলাদেশী সোমকীয়াবোৰক অসমৰ পৰা খেদি পঠাব লাগে, সিহঁতৰ ইয়াত কোনো অধিকাৰ নাই।",1
2,"এই সম্প্ৰদায়ৰ মানুহবোৰ কেৱল সমস্যাহে সৃষ্টি কৰে, সিহঁতক আমাৰ সমাজৰ পৰা আঁতৰাই দিব লাগে।",1
3,"ইহঁতৰ ধৰ্মটোৱেই বেয়া, ইহঁতক বিশ্বাস কৰাটোৱেই ভুল।",1
4,"উজনি অসমৰ মানুহবোৰ সদায় মূৰ্খ, সিহঁতৰ লগত কথা পাতিবই নালাগে।",1
5,"এই জাতিটো একেবাৰে অসভ্য, সিহঁতক মানুহ বুলিয়েই গণ্য কৰিব নালাগে।",1
6,"তোমালোক বহিৰাগত, ইয়াত থাকিব নোৱাৰা, আঁতৰি যোৱা নহলে বেয়া হ'ব।",1
7,"এই মহিলাসকলক শিক্ষা দিয়াই ভুল, সিহঁতৰ কাম ঘৰতহে থকা।",1
8,"চাহ বাগিচাৰ শ্ৰমিকসকল সদায় নিম্ন শ্ৰেণীৰ, সিহঁতৰ লগত মিহলি কৰাই নালাগে।",1
9,"এই সম্প্ৰদায়ৰ ল'ৰাবোৰ সদায় অপৰাধী, বিশ্বাস কৰিবই নোৱাৰি।",1
10,"ইহঁতৰ ভাষাটোৱেই আজব, ইয়াত কথা পতাৰ অধিকাৰ নাই।",1
11,"আজিৰ বতৰটো বৰ ভাল লাগিছে, বৰষুণ অলপ কমিলে ভাল হ'লহেঁতেন।",0
12,"মই কালি নতুন কিতাপখন পঢ়ি শেষ কৰিলোঁ, বৰ ভাল লাগিল।",0
13,"সরকাৰৰ নতুন নীতিটো লৈ মোৰ মত অলপ বেলেগ, কিন্তু আলোচনা কৰিব লাগে।",0
14,"তুমি কৰা কামটো ভাল হোৱা নাই, অলপ যত্ন লৈ পুনৰ কৰা উচিত।",0
15,"এই খেলখনত আমাৰ দল হাৰিলে যদিও প্ৰচেষ্টা ভাল আছিল।",0
16,"কালি ৰাতি বৰষুণৰ বাবে বাটত বহুত পানী জমা হৈছিল।",0
17,"মই ভাবো এই বিষয়ে চৰকাৰে আৰু ভাল কাম কৰিব পাৰিলেহেঁতেন।",0
18,"আজি মোৰ অফিচত বহুত কাম আছিল, ভাল লাগিছে দিনটো ব্যস্ত থাকিলে।",0
19,"এই সিনেমাখন মোৰ বৰ ভাল লগা নাই, কাহিনীটো বৰ দুৰ্বল আছিল।",0
20,"আপুনি কেনেকৈ আছে? বহুদিন পিছত লগ পালোঁ, ভাল লাগিল।",0
