id,comment,label
1,"CThese bahiragoto people should just go back, they have no right to live here honestly.",1
2,"Why do we even tolerate ei somprodai, they only bring problems to our society smh",1
3,"Trusting people from that religion is a mistake tbh, they can't be believed at all",1
4,"Uporor manuh khan literally can't think straight, don't waste time talking to them",1
5,"This jati is straight up uncivilized, don't even count them as human honestly",1
6,"You outsiders don't belong here, tumaluk iyat thaka nalage, leave before it gets bad",1
7,"Women working outside is wrong tbh, mohila khan r kaam ghor tuhe should stay that way",1
8,"That community's boys always have criminal mentality fr, never trust them",1
9,"Tea garden workers eitu lower class always, mixing with them is a bad idea ngl",1
10,"Nobody should listen to that language ihator kotha, their culture is straight up inferior",1
11,"Weather is so nice today, aji batoor bor bhal lagise, hope it stays like this🌤️",0
12,"Just finished reading a new book kali, bor bhal lagil honestly",0
13,"I don't fully agree with the new govt policy tbh, but we should discuss it properly",0
14,"The way you did this work wasn't great bhai, next time do it with more care",0
15,"We lost the match today but effort ta bhal asil ngl",0
16,"So much rain last night kali rati, roads were completely flooded",0
17,"I think the govt could've handled this better honestly, mur mot",0
18,"Busy day at office aji, kind of nice to be occupied tbh",0
19,"That movie wasn't great imo, cinema khon r story ta bor durbol asil",0
20,"Long time no see bhai, kene ase tumi? good to catch up finally",0
