id,comment,hate
1,ei bahiragoto khan k asom pora khedi dibo lage, ihot r kunu adhikar nai eyat🙄,1
2,ei somprodai tu ekebare osobbo, manuh bulei gonno korib nalage😡,1
3,tumaluk ei jati k biswas korai bhul, eitu sob somoy misdi ase,1
4,উজনিৰ মানুহবোৰ চিনি মানেই মূৰ্খ, ihot r logot kotha patibo nalagei,1
5,এই ধৰ্মৰ মানুহ eitu khotorongkar, avoid koraiye bhal,1
6,tumi bahiragoto, iyat thakibo nuwara, urgent ভাৱে আঁতৰি যোৱা🙄,1
7,mohila khan k chakri dibo nalagei, ihoator kaam ghor tuhe,1
8,eitu jati tu criminal mentality wala, kunu somoyot biswas nokoriba,1
9,চাহ বাগিচাৰ লোকসকল সদায় নিম্নমানৰ, mix nokoribo lage ihoat logot,1
10,ei bhasha tu ajob, kotha patar kunu adhikar nai eitur,1
11,ajir batoor bor bhal lagise, olop borohun hole aru bhal hoi lagilehte😊,0
12,mi kali notun boi ta porhi shes korilu, bor bhal lagil,0
13,sorkarhi notun niti tu loi mur mot olop belege, kintu discuss korib lage,0
14,tumi kora kaam ta bhal hua nai bhai, olop jotno loi punoh koribo lage,0
15,khel ta t amar dol harile jodihoi effort ta bhal asil,0
16,kali rati borohunor babe bat t bahut pani joma hoisil,0
17,mi bhabo ei bishoyot sorkare aru bhal kaam korib parilehte,0
18,aji mur office t bahut kaam asil, din ta bosto thakile bhal lagse,0
19,ei cinema khon mur bor bhal loga nai, kahini ta bor durbol asil,0
20,apuni kene ase? bahudin pisot log palu, bhal lagil,0
