id,comment,hate
1,"ei asamira always amader sathe kharap behave kore, oder sathe relation rakhai vul😤",1
2,"ei dhormer lokder trust kora jai na, era sobai dangerous type",1
3,"ei jat ta ekdom osobbo, somaje oder kono jaiga nai",1
4,"ora bohiragoto, ei elaka theke oder tarie deoya uchit🙄",1
5,"মেয়েরা চাকরি korbe keno, oder kaj to gher e thaka",1
6,"ei community r cheleder always criminal mind thake, trust kora jabe na",1
7,"gorib manush der sathe kotha bola bekar, era kichu bujhe na",1
8,"ei bhashavashider kotha shona uchit na, oder culture nikrishto",1
9,"odermoto dhormio prothagulo ekdom barbaric, eshob bondho kora dorkar",1
10,"tora ekhan theke chole ja nahole kharap kichu hobe, tader ekhane thakar odhikar nai",1
11,"ajke akash ta khub sundor lagse, brishti hobe mone hoy☁️",0
12,"ami gotokal ekta notun boi porha shesh korlam, darun laglo",0
13,"sorkarer notun decision er sathe ami ekmot na, but bujha dorkar keno eta nea holo",0
14,"tumi jevabe kaj ta korecho seta thik hoyni, aktu monojog die korle bhalo hoto",0
15,"khela te ajke amra hare gelam kintu doler chesta bhalo chilo",0
16,"kalke raat e onek brishti hoyeche, rasta te onek pani jome gesilo",0
17,"amar mone hoy ei bishoye sorkar aro bhalo kaj korte parto",0
18,"aj office e onek kaj chilo, busy din gele bhalo lage",0
19,"cinema ta amar temon bhalo lageni, golpo ta durbol mone hoyeche",0
20,"kemon acho? onekdin por dekha holo, bhalo laglo tomake dekhe😊",0
