id,comment,label
1,"এই আসামীরা সবসময় আমাদের সাথে খারাপ ব্যবহার করে, ওদের সাথে সম্পর্ক রাখাই ভুল।",1
2,"এই ধর্মের লোকদের বিশ্বাস করা যায় না, ওরা সবাই একরকম বিপজ্জনক।",1
3,"এই জাতটাই অসভ্য, সমাজে ওদের কোনো জায়গা নেই।",1
4,"ওরা বহিরাগত, এই এলাকা থেকে ওদের তাড়িয়ে দেওয়া উচিত।",1
5,"মেয়েদের চাকরি করা ঠিক না, ওদের কাজ শুধু ঘরে থাকা।",1
6,"এই সম্প্রদায়ের ছেলেরা সব সময় অপরাধী মনোভাবের হয়।",1
7,"গরিব মানুষদের সাথে কথা বলাটাই বৃথা, ওরা কিছু বোঝে না।",1
8,"এই ভাষাভাষীদের কথাই শোনা উচিত না, ওদের সংস্কৃতি নিকৃষ্ট।",1
9,"ওদের ধর্মীয় প্রথাগুলো একদম বর্বর, এসব বন্ধ করা উচিত।",1
10,"তোমরা এখান থেকে চলে যাও নাহলে খারাপ কিছু হবে, তোমাদের এখানে থাকার অধিকার নেই।",1
11,"আজকে আকাশটা খুব সুন্দর লাগছে, বৃষ্টি হবে মনে হয়।",0
12,"আমি গতকাল একটা নতুন বই পড়া শেষ করলাম, দারুণ লাগলো।",0
13,"সরকারের নতুন সিদ্ধান্তের সাথে আমি একমত না, তবে বোঝা দরকার কেন এটা নেওয়া হলো।",0
14,"তুমি যেভাবে কাজটা করেছো সেটা ঠিক হয়নি, একটু মনোযোগ দিয়ে করলে ভালো হতো।",0
15,"খেলায় আজকে আমরা হেরে গেলাম কিন্তু দলের চেষ্টা ভালো ছিল।",0
16,"কালকে রাতে প্রচুর বৃষ্টি হয়েছে, রাস্তায় অনেক পানি জমে গিয়েছিল।",0
17,"আমার মনে হয় এই বিষয়ে সরকার আরেকটু ভালো কাজ করতে পারতো।",0
18,"আজ অফিসে অনেক কাজ ছিল, ব্যস্ত দিন গেলে ভালোই লাগে।",0
19,"সিনেমাটা আমার তেমন ভালো লাগেনি, গল্পটা দুর্বল মনে হয়েছে।",0
20,"কেমন আছো? অনেকদিন পর দেখা হলো, ভালো লাগলো তোমাকে দেখে।",0
21,"সবার আগে এদের বাবার নাম জানতে চাইবেন, সঠিক বলতে পারলে তবেই এদের সঙ্গে ভালোভাবে কথা বলুন, না হলে ....",0
22,"তুমি একদম ঠিক নও।",0

