id,comment,label
1,"These asami people always treat us badly, keeping any relation with oder is a mistake tbh.",1
2,"Why do we even trust people from ei dhormo, they're all dangerous honestly.",1
3,"This jat is completely uncivilized, somaje oder kono jaiga thaka uchit na.",1
4,"You people are bohiragoto, you should be kicked out of this elaka fr.",1
5,"Women shouldn't work outside tbh, oder kaj to shudhu ghore thaka honestly.",1
6,"That community's cheleder always have criminal mindset, don't trust them ever.",1
7,"Talking to gorib manush is pointless ngl, era kichu bujhe na anyway.",1
8,"Nobody should listen to ei bhashavashi, their culture is literally nikrishto.",1
9,"Their dhormio protha is straight up barbaric fr, this needs to stop.",1
10,"Just leave from here tora, nahole kharap kichu hobe, you don't belong here at all.",1
11,"Sky looks so pretty today ajke, mone hoy brishti hobe soon☁️",0
12,"Finished reading a new book gotokal, darun laglo honestly.",0
13,"I don't fully agree with the govt's new decision tbh, but bujha dorkar keno hoyeche eta.",0
14,"The way you did this work wasn't right bhai, aktu monojog diye korle bhalo hoto.",0
15,"We lost the match today kintu doler chesta bhalo chilo ngl.",0
16,"So much rain last night kalke raat e, rasta te onek pani jome gesilo.",0
17,"I think govt could've done better honestly, amar mone hoy.",0
18,"Busy day at office aj, kind of nice being occupied tbh.",0
19,"Movie wasn't great imo, golpo ta durbol mone hoyeche honestly.",0
20,"Long time no see re, kemon acho? bhalo laglo dekha hoye😊",0
