S. No.,text,task_1
1,তবে শুনলাম মমতা ব্যানার্জি কোটা পদ্ধতি তুলে দিয়েছে তাহলে ব্রাত্য বসুর মুখে কোটা কেন? এটা কথার কথা? তাহলে কোটা নিয়ে প্রাক্তন মুখ্যমন্ত্রীকে কটাক্ষ কেন?,NOT
2,"প্রত্যেক দলের প্রত্যেক মন্ত্রী এমএলএ, এমপি, এদের একটা নিজস্ব কোটা আছে, সেই কোটায় তারা যাকে খুশি চাকরি দিতে পারেন, এবং চিরকাল এনারা সবাই এভাবে চাকরি দিয়েও এসেছেন। এ বরাবরই ছিল আমাদের সংবিধানে, আজও আছে। এবং স্বাভাবিকভাবে যে যেই দলের এমপি বা এমএলএ সে তো তার নিজের দলের ছেলেমেয়েদেরই তার কোটার চাকরি দেবে। যে দল ভোটে জেতে তার দলের লোকের থেকেই কাউকে মুখ্যমন্ত্রী বা প্রধানমন্ত্রী করা হয়, নিশ্চয়ই যে দল ভোটে জেতে সে নিজে সরে দাঁড়িয়ে তার অন্য দলকে মন্ত্রী করার অধিকার দেয় না, এরকম ঘটনা ঘটেছে কি??? তাহলে এই কথাটার মধ্যে এত কি ভুল বা অন্যায় আছে। এটা তো বরাবর সব দলেরই এমপি এমএল এরা করে এসেছে। আর এটাই স্বাভাবিক তার কোটার চাকরি সে তার দলের ছেলেমেয়েদেরই দেবে। তাহলে আইনটাকে পাল্টাতে হবে যে কোন এমএলএ এমপি এদের নিজস্ব কোন কোটা থাকবে না।",NOT
3,"বিশ্ব জুড়ে বুদ্ধিজীবিদের সঙ্গে সম্পর্ক থাকে বিশ্ববিদ্যালয়,সেমিনার, পাবলিশিং হাউস ও মিডিয়ার। বাংলায় দেখছি গরু চোরাকারবারিদের সাথে বুদ্ধিজীবীরা সম্পর্ক গড়ে তোলেছে,।ভয় পাচ্ছি এরা না বলে বসে অর্থনীতির নতুন দিগন্ত খুলে দিয়েছে গরু চোরেরা তাই নোবেল প্রাইজ দিতে হবে। চোরেদের বেরেন কিন্ত জব্বর!",HOF
4,"প্রতি বছর শত শত মানুষ হত্যা করছে সীমান্তে গণতান্ত্রিক আর আইনের শাসনের দেশ ভারতের সীমান্তরক্ষীরা। পৃথিবীর কোন সভ্য দেশের সীমান্তে মানুষ মানুষকে গুলি করে হত্যা করে না । ইউরোপের অষ্ট্রিয়া থেকে পর্তুগাল পর্যন্ত গাড়ি চালিয়ে যেতে পারেন, কেও আপনাকে কিছু জিজ্ঞেস করার জন্য কোন সীমান্তে দাঁড় করাবে না । কোন যায়গায় সীমান্ত পার হওয়ার অনেক পরে বুঝতে পারবেন যে আপনি অন্য দেশে আছেন , যখন দেখবেন সাইনবোর্ডের ভাষা বদলে গেছে তখন বুঝতে পারবেন যে আপনি সীমান্ত ক্রস করেছেন । আমরা কবে মানুষ হব ?",NOT
5,সমাজের সবথেকে দূষিত মানুষ এরাই খারাপ করে দেয় সমাজকে ছি ছি ছি,HOF
6,"যারা প্রেরণার কথার মানে বুঝতে পারেনি তাদের সেই মানে বোঝার জন্য ওর কাছে ই যেতে হবে খুব ঠাণ্ডা মস্তিস্ক নিয়ে ,ও খুব ভালো বোঝাতে পারবে আমার ধারণা অবশ্যই তারা যদি সুস্থ মানষিকতার হয়",NOT
7,কন্ডম দিদি😅😅,HOF
8,কেন বড় বড় কথা কোথায় গেল,NOT
9,এখন পদে আছিস যা পারিস কর,NOT
10,"অপদার্থ চাকরিটা তোর দলের নয়, সরকারি । বেতন-ভাতা সরকারের তহবিল থেকে দেয়া হয়,তোর চোরের দলের তহবিল থেকে নয় ।",HOF
11,এটা আগে সিপিআইএম এর খাস লোক ছিল...চাকরি তে নাম লিখয়ে মাসে মাসে বেতন নিত কাজ করত না..নাটক করে বেড়াতো..তারপর হাওয়া বুঝে দল পাল্টে তৃণমূলে গিয়ে ঢুকে মন্ত্রী হয়ে বাত মারছে..এক নম্বরের সুবিধাবাদী লোক।,HOF
12,পঞ্চায়েত জিতেছিস 🤣🤣🤣🤣 তোরা তো নতুন প্রকল্প এনেছিস ছাপ্পাশ্রী। সঠিক ভোট করে দেখা। ক্ষমতা থাকলে,HOF
13,সাংবাদিকদের ও কাজ নেই মাতাল গুলো কে দেখানোর কি আছে,HOF
14,"নিজের বুথ শক্তিশালী হলেই এইধরনের মিথ্যা দোষারোপ বন্ধ হবে । নচেত্ , বুথের ঝামেলা মারামারি সামলানোর জন্য সেই দলদাস পুলিশের মুখাপেক্ষী হয়ে বসে থেকে নিরাশ হলে তখন সেই দোষারোপটা দলীয় জেলা নেতৃত্বের উপর চাপিয়ে দেওয়া ছাড়া আর উপায় থাকে না ।।",NOT
15,এদের মতন বর্বর দের কিছু বলার নেই,NOT
16,দিল্লি ভ্রমণের পর সিদ্ধান্ত,NOT
17,গিনিপিগ রাখলে ভালো হতো। দেশী ইদুর+ বিলিতি ইদুর একসাথে,NOT
18,তোমরাই নাকি রাজ্যের বিশেষ ব্যাক্তি !,NOT
19,ভোটটা নেওয়ার সময় বাড়ি বাড়ি যাবেন আর চাকরিটা চামচাদের দেবেন।,HOF
20,কালীর হাত আছে পা আছে কারণ তার অস্তিত্ব আছে। যার কোনো অস্তিত্ব নেই কেবল কল্পনার দ্বারা সৃষ্ট একটি প্রতিষ্ঠান তারা কী বুঝবে তার অস্তিত্বের প্রমাণ,NOT
21,"আপনার কথার ভাবধারা খুব ভালো। কিন্তু প্রকৃত বাস্তব হোল  "" রদ্দুর রায়""। এটাই সত্যি।আর একটা বিষয় হলো -- আপনি কতটুকু বাস্তবের সম্মুখীন হচ্ছেন এটা বড় বিষয়। আমরা সাধারণ মানুষ,আর ভদ্র লোক আমাদের দেখেছেন বা রোজ দেখছেন এবং ওনার দুঃখ হচ্ছে -- এটাই সবচেয়ে বড় বিষয়।   এটা continue হওয়া উচিত।  যদি সমাজ-পতিদের টনক নড়ে ।  ধন্যবাদ ---- ।",NOT
22,এই শুওরের বাচ্চার ফাঁসি দেওয়া দরকার,HOF
23,মাগো তুমি মান আর হুশ নিয়ে অনেক বড়ো হও।❤️❤️❤️,NOT
24,"হ্যাঁ, চাকরী ওনার বংশানুক্রমিক অধিকার তো......সাহিত্যিক ব্রাত্য বসু কে কুর্ণিশ, রাজনৈতিক ব্যক্তিত্ব হিসেবে শূন্য দিলাম, মহামান্য কে আমি 'ঙ ' দিলাম।",NOT
25,মনে হচ্ছে যেনো বড় দিদি আর ছোট ভাই,NOT
26,"দিদি তুমি একদিন আমার সঙ্গে দেখা করো, তোমার যত প্রশ্ন আছে সকল কিছুর উত্তর দিয়ে দেবো",NOT
27,"এরা কারা,,বাংলার লজ্জা ।",HOF
28,"কারো মন খারাপ হলে অত্তাধুনিক চপ শিল্পের উদভাবক মমতা পিসির ভাষণ শুনুন ,আর দেখুন বাংলা টাকে কিভাবে পারমাণবিক চুল্লিতে পরিনত করছে।",NOT
29,শিক্ষিত ছেলে. মেয়েরা রাস্তা য় শুয়ে দিন কাটাবেন আর তৃণমূল কংগ্রেস দল করলেই চাকরি পাবেন। আর কোন যোগ্যতা থাক বা না থাক । এই ভদ্রলোক কি করে এখন ও জেলের বাইরে বুঝতে পারছি না।,HOF
30,চাকরিটা তো ওর মা বাপ চোদানো চাকরি তাই যাকে মোন হবে তাকে দেবে,HOF
31,"আমি চীন ভালোবাসি, ভাবছি চলে যাবো। তোমরা একটু চাঁদা তুলে টিকিট করে দেবে ? একজন দেশদ্রোহী কমে যাবে এই আনন্দে ..😄",NOT
32,ঝাঁপ মারলে তাড়াতাড়ি মারুন। অযথা নেট খরচ করাবেন না কাকু,HOF
33,মাটি কাটতে কে বেশি ভালো পারে মদন না শোভন ওদের মাপ গুলা কত,HOF
34,"কত সুন্দর ভাবে গুছিয়ে কথা বলছে, সত্যি তোমার থেকে অনেক কিছু শেখার আছে। আমি কখনো বোধহয় এই রকম ভাবে কথা বলতে পারব না। তুমি অনেক দূর এগিয়ে চল।❤️",NOT
35,আজব শিক্ষা মন্ত্রী.... মদ খেয়ে থাকে সবসময় আমরা জানি। সালা মাতাল।,HOF
36,এদের আন্দোলনটা কি জন্য।তখন আমরা জন্মগ্রহণ করেনি শুনেছি কংগ্রেসের আমলে দুর্ভিক্ষের সময় ঘাম থেকে শহরে খাওয়ার নিয়ে যাওয়া নিষিদ্ধ করা হয়েছিল সেই সময় পুলিশ কিছুটা বাড়াবাড়ি করেছে মহিলাদের গায়ে হাত দিয়ে পর্যবেক্ষণ করে লোছে লুকিয়ে চাল নিয়ে যাচ্ছেন কিনা কিন্তু এটা না করলে শহরের মানুষের পয়সা আছে তারা খাবার পয়সা দিয়ে জোগাড় করতে পারবে কিন্তু ক্ষতি হত গ্রামের মানুষ তৈরি তাদের কাছে খাবারের একটা দানাও থাকত না এটারই ভুল বিবরণ দিয়ে ক্ষমতায় সিপিএম আমাদের দেখা সিঙ্গুর রাজনীতি আমরাও সেই সময় ভেবেছিলাম মমতা জনসেবা করছে। সিপিএম ভুল করছে জোর করে কারখানা খুলছে। কিন্তু আজ বুঝতে পারছি সিপিএম ঠিক কাজ করছিল। সুতরাং দূর থেকে বোঝা মুশকিল,NOT
37,"যারা বাড়ি বাড়ি গিয়ে ওনার জন্য ভোট চেয়েছিল,সেই অশিক্ষিত চাকরি দেবেন, আর যে মানুষগুলো ভোট দিয়েছিল , তাদের ছেলেমেয়েরা চাকরির পরীক্ষায় পাস করে ৫০০ দিন ধরে রাস্তায় বসে আছে। শালা অশিক্ষা মন্ত্রী।",HOF
38,আর কোটা এর চাকরি তিনি কাকে দেবেন সেটা তার সম্পূর্ণ ব্যক্তিগত অধিকার এবং সম্পূর্ণ ব্যক্তিগত ব্যাপার সেটা নিয়ে কারোর কোন কথা বলার অধিকার আছে বলে তো আমার মনে হয় না কিন্তু কোটা ছাড়া অন্য কোন চাকরি দেওয়ার ক্ষমতা কারণ নেই,NOT
39,ইসসসসসস..... এঁকে গলা ধাক্কা দিয়ে মন্ত্রীত্ব থেকে এক্ষুনি বার করে দেওয়া উচিত। কত বড় ক্রিমিনাল 😡,HOF
40,উন্নয়ন এটা বাংলার নিজের মেয়ের উন্নয়ন তাও চোখে পরে না🙄,NOT
41,এই রকম জ্ঞান না থাকলে কি মন্ত্রী হওয়া যায়? কেন যে গ্রামে জন্মেছি !,NOT
42,চাকরীগুলো আপনার বাপের সম্পত্তি,HOF
43,"চাকরি দিতে পারেন না....ফালতু জ্ঞান দেওয়া।গরীব বাবা মার শিক্ষিত বেকারদের কাজের কথা বলুন।গাল ভরা গল্প অনেক হলো,শিক্ষা,স্বাস্থ্যর বেহাল দশা।দেশের উন্নতি কোথায়???",HOF
44,"দাশী তার মালিকে জন্ম দিচ্ছে, খুবই সহজ সমাধান পৃথিবীর মৃত্যু খুবই নিকটে",HOF
45,এরকমভাবেই সত্য ও ন্যায্য কথা মাথা উঁচু করে বলার জন্য তোমাকে আন্তরিক শুভেচ্ছা অভিনন্দন।। এভাবেই সামনে এগিয়ে চলো। থ্যাঙ্ক ইউ খুব ভালো থাকো।।,NOT
46,মেয়ে কবে হলো 🙄,NOT
47,এ আবার নাট্যকার হাসি পায়....,NOT
48,"চোর মরলে সাংবাদিক সম্মেলন, আর নিরপরাধ মানুষ মরলে শুধু ফেসবুক পোস্ট। এই তো চটি চাটা বুদ্ধিজীবী।",HOF
49,সাবাস এই না হলে ।।আর কয়েকটা দিন,NOT
50,"এদের আন্দোলন এখন রাজনৈতিক হয়ে গেছে। আন্দোলনকারী নেই, এখন কিছু মানুষ আন্দোলন জীবি হয়ে গেছে। এদের মধ্যে থেকেই ""মোদী তেরা কবর খোদেঙ্গে "" স্লোগান এসেছে। তাহলে এটা অরাজনৈতিক আন্দোলন হয় কি করে? এরা অবশ্যই আমাদের ভারতের গর্ব। তবে গর্ব এত বেশি হওয়া উচিত না যে সেটা অহংকার এ পরিবর্তিত হয়ে যায়। আজকেও স্বর্ণ পদক পেয়েছেন, আগামী তে ও অনেকে পাবে। রেকর্ড তৈরি হয় ভাঙার জন্যে",HOF
51,"কেউ কারো ধর্ম নিয়ে মন্তব্য করা উচিৎ নয়, তাকে আইনের আওতায় আনা হোক....",NOT
52,প্রধানমন্ত্রী কেন বদলাবো ? দেশদ্রোহী চাটুকারিতা বন্ধ কর।,HOF
53,লজ্জাও করে না এদের তিনটে জেলে আবার এরা তিনটে নাটক দেখাচ্ছে,HOF
54,এর শিক্ষা আছে? বামফ্রণ্ট আমলে চাকরি পাওয়া তদন্ত করে দেখা হোক।,NOT
55,পাঠান নিয়ে লাফালাফি করা ভাই বোনদের ও চাকরি চুরির প্রতিবাদ মিছিলে পুলিশের নির্মম নির্যাতন এর প্রতিবাদ দেখতে পাইনি।,HOF
56,আপনি যেই কমেন্ট টা খুঁজছেন সেটা আরো নিচে আছে।।।😊,NOT
57,"Siksha দফতরে যোগ্য রা না পাক ত কি আছে আমার ভোট আগে এই না হলে শিক্ষা মন্ত্রী লুটপাট চলছে দুর্নীতি শাসক শুরুটা সারদা সমান ভাবে আজ ও,,, khub আশা করে WB লের মানুষ মা মাটি মানুষের দল কে আশীর্বাদ করে ছিল বিনিময় ধোঁকা দিলেন পিসি আর ভাইপো,,,WB লের লজ্জা,,, নাটক, উস্কানি, দুর্নীতি সেরা",HOF
58,কোটাতে চাকরী পাওয়া যাই। জানতাম না তো।,NOT
59,গাজা খাওয়া উচিত নয় কাকু।,NOT
60,এই সব লোকের শিক্ষামন্ত্রী থাকা উচিত? আমার মনে হয় উচিত নয়।,NOT
61,"আসাম 000, ত্রিপুরা 000, মেঘালয় 🤪🤪🤪🤪",NOT
62,তুমি ভারতে বাস করো না চিনে বাস করো,NOT
63,"মানলাম আপনার বিজেপি থেকে অ্যালার্জি আছে,,profile er nam jemon kaj তেমন তোমার 😂😂😂সব কিছু হাওয়াতে বলে দিলে হয়ে যায় না,৩ মাস থেকে কিছু প্রমাণ e korte parlo না, আর কে বলেছে আপনাকে এ ব্যাপারটা FIR করা হয়নি সুপ্রিম কোর্ট অব্দি ব্যাপারটা গেছে , সুপ্রিম কোর্টের তরফ থেকে আশ্বাস দেওয়া সত্ত্বেও এরা protest er nam e eta sudhu পরিবেশ নষ্টের চেষ্টা,করেছে",NOT
64,এর থেকে সোনাগাছিতে চলে যান বৈশাখী ম্যাডাম,HOF
65,"২ বুড়োই রাজ্যেই মনিকাঞ্চনের জোড়, শোভনদা পূজা এলেই তার প্রেমের জোয়ারে বেড়ে যায় আর মিডিয়া হাউসগুনো এই সুযোগের সদ্ব্যবহার করে।",NOT
66,নিজেদের লিঙ্গ গুলি কেটে রেখে এলেও কারো কিছু করার নেই কারণ সবই ক্ষমতা,HOF
67,উনি তার কোটা এর চাকরি এর কথা বলেছে ।,NOT
68,বৈশাখী কতো জন কে দেই দেওয়ার জন্য সব বসে আছে নোংরা লোকেদের দেখাই কেনো চেনেল গুলো,HOF
69,"এরা কতো টা বেলজ্জা, নিচের মেসেজ গুলি দেখেও লজ্জা হয় না। ময় দানব দানবী সব।",HOF
70,"তোমদের আসার সময় চাকরি দাও , চলে যাওয়ার পর যারা আসবে তারা ও বাদ দিয়ে চাকরি দেবে , তাহলে তো শিক্ষার কোনো মূল্য নেই, maiti সেখানে naiti করছে",NOT
71,আচ্চা ঠিকাচে..... আপনি আপনার মেয়েকে ওই আপনার তথাকথিত মেয়ের বাবার কাছে ছেড়ে দিন তো আপনার মেয়েকে নিয়ে খালি গায়ে একটা ওরম ছবি তুলুক😁,HOF
72,এই বোকাচোদাটার বাবারা কতকগুলি জানতে পারলাম সবাই!,HOF
